# RCBIRE
parameter,independent_variables,3
parameter,coordinate_system,body
BIRE[deg],alpha[deg],rbar,Cx,Cy,Cz,Cl,Cm,Cn
-40.0,0.0,0.004759988869,1.0962917e-05,0.000850368874,0.001349302831,3.5691668e-05,0.00179439108,-0.000666884608
-40.0,0.0,0.009519977738,2.5372693e-05,0.001705055305,0.002700264059,6.7694566e-05,0.003592699385,-0.001335778339
-40.0,5.0,-0.009519977738,0.000131312858,-0.001955789957,-0.003136397687,-0.000700241459,-0.004140077688,0.001451151289
-40.0,5.0,-0.004759988869,6.015091e-05,-0.000898060577,-0.001431802079,-0.000330752885,-0.001901613662,0.000686171493
-40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,5.0,0.004759988869,-4.8496565e-05,0.000702221111,0.001100955069,0.000284024452,0.001492392452,-0.000589315701
-40.0,5.0,0.009519977738,-9.5754841e-05,0.001458187383,0.002286827785,0.000575856608,0.003094136446,-0.001204909306
-40.0,10.0,-0.009519977738,0.000251089599,-0.002079976858,-0.003214725542,-0.001221673114,-0.004235633346,0.001509423224
-40.0,10.0,-0.004759988869,0.000123256977,-0.001041386885,-0.001606148543,-0.000609467041,-0.002118960768,0.000755391889
-40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,10.0,0.004759988869,-0.000118523427,0.00104341179,0.001602155651,0.000606350268,0.002119092644,-0.00075636142
-40.0,10.0,0.009519977738,-0.000231924575,0.002086118212,0.003194943614,0.001208419373,0.004231011066,-0.001512283796
-40.0,15.0,-0.009519977738,0.000403966178,-0.002258935572,-0.003353727936,-0.001701715016,-0.004385129712,0.001596113204
-40.0,15.0,-0.004759988869,0.000199590187,-0.001132048547,-0.001677631159,-0.000850615036,-0.002198112469,0.000799339039
-40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,15.0,0.004759988869,-0.000192702064,0.001131916339,0.001666649445,0.000846758902,0.002190569989,-0.000799287291
-40.0,15.0,0.009519977738,-0.000370202093,0.002233032564,0.003256541625,0.001671753122,0.004275708884,-0.001582633861
-40.0,20.0,-0.009519977738,0.000553651064,-0.002423326894,-0.003443935354,-0.002128001592,-0.004441662094,0.001696925805
-40.0,20.0,-0.004759988869,0.000273416132,-0.001210552565,-0.00171528405,-0.001062189983,-0.002216592957,0.00084772747
-40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,20.0,0.004759988869,-0.000266613908,0.001208486608,0.001702122696,0.001058547558,0.00220837246,-0.000846337221
-40.0,20.0,0.009519977738,-0.000526442665,0.002415061643,0.003391288422,0.00211343248,0.004408779798,-0.0016913639
-35.0,-20.0,-0.009519977738,-0.00049583807,-0.001628945088,-0.002750390837,0.00206059597,-0.003672587004,0.001280760248
-35.0,-20.0,-0.004759988869,-0.000250904849,-0.000819251529,-0.001383711302,0.001032363746,-0.001845181738,0.000642657269
-35.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,-20.0,0.004759988869,0.000256892782,0.000828069809,0.001400128041,-0.00103614583,0.001861933416,-0.000646757778
-35.0,-20.0,0.009519977738,0.000519789092,0.001664704787,0.002816540736,-0.002075931358,0.00374035601,-0.001297454359
-35.0,-15.0,-0.009519977738,-0.000355857295,-0.001356932545,-0.002544857989,0.001538505814,-0.003375476114,0.001124844208
-35.0,-15.0,-0.004759988869,-0.000178218966,-0.00067361062,-0.001267056381,0.000767932705,-0.001677457988,0.000559683058
-35.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,-15.0,0.004759988869,0.000181017865,0.000677975824,0.001273237701,-0.000770318929,0.001681658555,-0.000561735457
-35.0,-15.0,0.009519977738,0.000367220777,0.001371836963,0.002567231467,-0.001547272373,0.003388932978,-0.001131604678
-35.0,-10.0,-0.009519977738,-0.000238926336,-0.001310481423,-0.002557636834,0.001050518135,-0.003404568241,0.001110515313
-35.0,-10.0,-0.004759988869,-0.000121531096,-0.000659658159,-0.001284449647,0.000527537735,-0.001709098234,0.000557386722
-35.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,-10.0,0.004759988869,0.000125740226,0.000668716236,0.001296107634,-0.000532150272,0.001723272419,-0.00056174729
-35.0,-10.0,0.009519977738,0.000255759081,0.001346666275,0.002604215413,-0.001068954707,0.003461192034,-0.001127932491
-35.0,-5.0,-0.009519977738,-0.000136459011,-0.001282807636,-0.00255547043,0.000523662707,-0.003406705493,0.001105534766
-35.0,-5.0,-0.004759988869,-6.9955405e-05,-0.000646950293,-0.001284071686,0.000264149998,-0.001711660224,0.000555461355
-35.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,-5.0,0.004759988869,7.3710081e-05,0.000662391984,0.00130204981,-0.000269685606,0.001735048565,-0.000563021907
-35.0,-5.0,0.009519977738,0.000151566051,0.001345265571,0.002628303263,-0.000545947934,0.003501380643,-0.001136115643
-35.0,0.0,-0.009519977738,-1.2605598e-05,-0.0012549622,-0.002570934066,-7.0158965e-05,-0.003411515218,0.001096492986
-35.0,0.0,-0.004759988869,-7.610171e-06,-0.000629744157,-0.001286755212,-3.330802e-05,-0.001708334967,0.00054930435
-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,0.0,0.004759988869,1.0240464e-05,0.000634315176,0.001289230792,2.9745206e-05,0.001713675307,-0.000551437559
-35.0,0.0,0.009519977738,2.3153201e-05,0.001273268583,0.002581339833,5.5905537e-05,0.003432795137,-0.001105037311
-35.0,5.0,-0.009519977738,0.000126897961,-0.001524567147,-0.003150124054,-0.000718704253,-0.004143940841,0.001220300561
-35.0,5.0,-0.004759988869,6.0934511e-05,-0.000748793332,-0.001543132142,-0.000353718733,-0.002033753046,0.000603491845
-35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,5.0,0.004759988869,-5.6280134e-05,0.000724052522,0.001484216835,0.000343049295,0.001963516009,-0.000591236373
-35.0,5.0,0.009519977738,-0.000108302103,0.001427030354,0.002917346795,0.000676404899,0.003866642926,-0.001171987805
