# RCBIRE
parameter,independent_variables,4
parameter,coordinate_system,body
BIRE[deg],alpha[deg],beta[deg],elevator[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-15.0,20.0,10.0,-0.015163424616,-0.045734661433,-0.056570554656,-0.006920740757,-0.076892385578,0.024355623243
-45.0,-15.0,20.0,20.0,-0.041203333561,-0.085864146766,-0.103367221172,-0.012610350542,-0.14102798343,0.045887693161
-45.0,-15.0,20.0,30.0,-0.070644348989,-0.1178452374,-0.138899414368,-0.017028669589,-0.190104119138,0.063146073533
-45.0,-10.0,-20.0,-30.0,-0.085305766029,0.151884216585,0.148432526433,-0.007819449853,0.205208544524,-0.080503174745
-45.0,-10.0,-20.0,-20.0,-0.050936630922,0.109819036783,0.108146300888,-0.005725934074,0.149628281748,-0.058327277682
-45.0,-10.0,-20.0,-10.0,-0.019854791333,0.057980997717,0.057601401273,-0.003094076296,0.079771820214,-0.030876894403
-45.0,-10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-10.0,-20.0,10.0,-0.005427396395,-0.051016812748,-0.053894183577,0.003102510196,-0.075051368604,0.027428122055
-45.0,-10.0,-20.0,20.0,-0.022958236113,-0.088637916068,-0.094937180698,0.005780871978,-0.132379324417,0.047844448356
-45.0,-10.0,-20.0,30.0,-0.045362204143,-0.113958663529,-0.123766727952,0.007944872319,-0.172791669833,0.06174247171
-45.0,-10.0,-10.0,-30.0,-0.077816201549,0.125012375797,0.130412254139,-0.000647707098,0.176715930665,-0.067486915912
-45.0,-10.0,-10.0,-20.0,-0.045810263976,0.091636633936,0.095747361065,-0.000479914895,0.130005850984,-0.049570751806
-45.0,-10.0,-10.0,-10.0,-0.017287767753,0.049197739786,0.051504673902,-0.000261869426,0.070099208504,-0.026686428402
-45.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-10.0,-10.0,10.0,-0.007680588375,-0.045828408417,-0.048709731832,0.00027471754,-0.06685901351,0.02512807802
-45.0,-10.0,-10.0,20.0,-0.027192944511,-0.081142511918,-0.086581955868,0.000509005975,-0.119107851209,0.044691711592
-45.0,-10.0,-10.0,30.0,-0.051256586564,-0.106103237549,-0.113659637204,0.000695941043,-0.156662831291,0.058682694779
-45.0,-10.0,0.0,-30.0,-0.068754806868,0.105295365783,0.124828980327,0.006623515778,0.167225581223,-0.05719771882
-45.0,-10.0,0.0,-20.0,-0.039520194802,0.078740727237,0.092290415829,0.004801103682,0.123995650757,-0.04285847193
-45.0,-10.0,0.0,-10.0,-0.014083164572,0.043284466404,0.050116836088,0.002561644208,0.067565057063,-0.023621760848
-45.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-10.0,0.0,10.0,-0.01052574012,-0.043463612421,-0.047922522141,-0.002512972848,-0.065270172122,0.023958722804
-45.0,-10.0,0.0,20.0,-0.03252436057,-0.078747178279,-0.086107156394,-0.00463376218,-0.117650903634,0.043578906331
-45.0,-10.0,0.0,30.0,-0.058638091701,-0.105015655077,-0.114024297313,-0.006316506781,-0.156212478574,0.058320281529
