# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:12:58
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

rudder[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-8.333333333333332,-10.0,-10.0,-0.002508860594081702,-0.022921020413191995,0.0013882585036280037,-0.0011151545861972992,0.004716351757292014,0.010897497134630108
-8.333333333333332,-10.0,-5.0,-0.0026221899208670706,-0.022613195063177993,0.0013215054895610034,-0.0010699415867872018,0.004480570286164026,0.01082756212068634
-8.333333333333332,-10.0,0.0,-0.0024920209638282006,-0.021619166084192204,0.001030486175900014,-0.0010238990614401897,0.003630815551196015,0.01043881148996681
-8.333333333333332,-10.0,5.0,-0.0022939596243705014,-0.020452851787715803,0.0007224026384460291,-0.0009946958797409002,0.0026745843703636016,0.00997267020834193
-8.333333333333332,-10.0,10.0,-0.002068097221346002,-0.0194530437482257,0.0003947050413299902,-0.0009817812500844993,0.0016426898053960026,0.0095842091472572
-8.333333333333332,-10.0,15.0,-0.0016488319837439924,-0.018230503003706204,0.00014898506499005926,-0.000944831965043802,0.0007910606598489633,0.00908360425839845
-8.333333333333332,-10.0,20.0,-0.0014122155964230165,-0.016636578208450506,-0.00015680755031999283,-0.0008849384123870985,-0.0001718433391268981,0.008401214178272299
-8.333333333333332,0.0,-20.0,-0.0026093787774920107,-0.022066339420015547,0.000451033621869934,-0.0012319045715442351,0.0022438965694929758,0.01042191999258088
-8.333333333333332,0.0,-15.0,-0.00264346880623198,-0.02277739990230495,0.00035090934630988,-0.0011455552400138152,0.001999852767547994,0.0107746943257498
-8.333333333333332,0.0,-10.0,-0.002667481477874198,-0.023002551599917005,0.0003003929039260278,-0.0010831800140951313,0.0018811130118389918,0.010933008415302493
-8.333333333333332,0.0,-5.0,-0.0026926925465149305,-0.022623019668999905,0.0002733698093609904,-0.0010433423404781672,0.0018221303381759923,0.010827833322899006
-8.333333333333332,0.0,0.0,-0.002700689770966401,-0.020895877128161534,0.00020726878798199566,-0.0009746569962952809,0.0016576623260889933,0.01012708001154787
-8.333333333333332,0.0,5.0,-0.002709470874317603,-0.02007819935220394,0.00014750013776698712,-0.0009243537378021886,0.0015093852072328093,0.009816597602429653
-8.333333333333332,0.0,10.0,-0.002705417437685001,-0.01905117958225515,0.0001213082594098136,-0.0009206611488656803,0.0014531596075509912,0.009413846848168794
-8.333333333333332,0.0,15.0,-0.002678589296943007,-0.017539975427016737,5.4729135880116075e-05,-0.0008760456910893473,0.0012807501314799907,0.008778766859800956
-8.333333333333332,0.0,20.0,-0.0026257713001119898,-0.01582627392988043,-2.5964097309927325e-05,-0.0008161511161646206,0.001063316023626082,0.008039565043065161
-8.333333333333332,10.0,-20.0,-0.0029354362080040164,-0.022707835227503997,-0.00010715232036995204,-0.0013038033948720024,0.0007723554869359939,0.010716482020666902
-8.333333333333332,10.0,-15.0,-0.002821279573204022,-0.023387548333258,-0.0004944506012629635,-0.0012180635589429042,-0.00023658033827300695,0.011057222601734404
-8.333333333333332,10.0,-10.0,-0.0028329289161820037,-0.02355685402836101,-0.0007499281200710195,-0.0011576489551428995,-0.0008613125299609947,0.0111859683855394
-8.333333333333332,10.0,-5.0,-0.0027694521204474,-0.0232498210429333,-0.0007677975286770056,-0.0011154109660770975,-0.0008228727317079743,0.0111167603358382
-8.333333333333332,10.0,0.0,-0.0029398887487923006,-0.0222172163940922,-0.0005312934278399739,-0.0010687825150720396,-9.202630244398158e-05,0.010710508749187629
-8.333333333333332,10.0,5.0,-0.003155238603413598,-0.021022445482448998,-0.00025844757430992793,-0.0010376919190559298,0.0007910147467376019,0.01023092696421321
-8.333333333333332,10.0,10.0,-0.003363235928891997,-0.020038041958819697,-1.018276878994584e-05,-0.0010267685402587014,0.0016322317886000026,0.0098488444376681
-8.333333333333332,10.0,15.0,-0.003676426270283001,-0.018823369782506302,0.00013101448951990946,-0.0009917768273198027,0.0022196490940519786,0.0093516218260685
-8.333333333333332,10.0,20.0,-0.0038710371117480213,-0.0172014779572333,0.00019913658481995888,-0.000931293194117,0.002553784285162952,0.008656638357937996
-8.333333333333332,20.0,-20.0,-0.003308268145859994,-0.024251114445443978,-0.00033731165451000855,-0.001473528524251505,0.00017423007883199393,0.011419550430446804
-8.333333333333332,20.0,-15.0,-0.003066557576984985,-0.025091929688297016,-0.001064046793008977,-0.0013799836702090978,-0.0017102106902739944,0.0118395782305026
-8.333333333333332,20.0,-10.0,-0.002927763972472297,-0.02533961648121999,-0.0017643444147280585,-0.0013129742297183014,-0.003421258612384015,0.012013153094162399
