# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:18:13
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

aileron[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-6.666666666666666,20.0,20.0,-0.025998927185698018,0.006235509585753002,0.013146627326170002,0.0425340197209669,-0.012554886447490032,-0.002830810255221902
-3.333333333333333,-20.0,-20.0,-0.007289703324239005,0.0020050402149839885,0.0021346836697400118,0.02017150035258529,0.03079011291224898,-0.0013160217278744973
-3.333333333333333,-20.0,-15.0,-0.006311318015677997,0.0014996442158770051,0.0031905725833120124,0.019385931383398003,0.037154048026104,-0.0008475762566875003
-3.333333333333333,-20.0,-10.0,-0.005577578464969694,0.0017474110895499828,0.00517173763947798,0.018842896565799697,0.045127853803345,-0.0006273112316416973
-3.333333333333333,-20.0,-5.0,-0.004610228818604621,0.0033631829497189902,0.0005555016791120027,0.018613053856036704,0.035846200534114026,-0.0012416404334916996
-3.333333333333333,-20.0,0.0,-0.0031364540102769758,0.00512004394617499,-0.00282796530137,0.018768538724148697,0.028759200956639003,-0.0019206891120356999
-3.333333333333333,-20.0,5.0,-0.0016246226342954,0.006147727215196991,-0.005999358605036087,0.01909667780392731,0.022756091307874503,-0.0023040719363442985
-3.333333333333333,-20.0,10.0,-0.0004776640736310067,0.0061186007675019805,-0.008001940946549935,0.01960120130648902,0.01820119164468051,-0.0021286930936693024
-3.333333333333333,-20.0,15.0,0.0007185452552820049,0.005924763500003011,-0.009109933781110024,0.0203498906782515,0.014626164398515995,-0.0017973878864544976
-3.333333333333333,-20.0,20.0,0.0019342193817240005,0.005856405527307984,-0.009545931157040055,0.021363903586663194,0.011674001695955005,-0.0014096558275667054
-3.333333333333333,-10.0,-20.0,-0.005731926109197039,0.0016581353725469983,0.003308186693000037,0.021850847492288897,0.020522112839833018,-0.0021126830384898022
-3.333333333333333,-10.0,-15.0,-0.005327561623937022,0.0009052602083840094,0.003806811163448942,0.021278012933463403,0.024508882891465023,-0.0013280521461883008
-3.333333333333333,-10.0,-10.0,-0.004911662657258099,0.0011385205949580035,0.0045800639597110004,0.0208723031845537,0.028501967129533012,-0.0009123927500000011
-3.333333333333333,-10.0,-5.0,-0.00459685578896681,0.0032563801662804093,0.0019689317645940063,0.020803211009919602,0.023528877849424007,-0.0014149770469991992
-3.333333333333333,-10.0,0.0,-0.003962962860247601,0.005514176488500402,-4.832977674498751e-05,0.02105238675969726,0.019652203021738007,-0.0020056600341310394
-3.333333333333333,-10.0,5.0,-0.0033109069057692016,0.0070699777600233965,-0.0017250572943540154,0.02148444603478122,0.0164150347240323,-0.0022986172139364
-3.333333333333333,-10.0,10.0,-0.0028507058338719943,0.006954851477576393,-0.0030826024299399624,0.02195172727979831,0.013463411896541197,-0.0018021109553391004
-3.333333333333333,-10.0,15.0,-0.0023909540220739822,0.006401818900697201,-0.0040221009516399064,0.02252527374733342,0.011117128699157985,-0.0010488580543981003
-3.333333333333333,-10.0,20.0,-0.001860138139021028,0.0059327545025653905,-0.004694194469829993,0.023275286701210013,0.009000545934932047,-0.000257947105231502
-3.333333333333333,0.0,-20.0,-0.005148184302225023,0.0011940057767446403,0.001587898746590044,0.022451656362190216,0.0022979787256809936,-0.002462590851123099
-3.333333333333333,0.0,-15.0,-0.005219352896679991,0.0007477101864682023,0.0012101214308100072,0.022085898125262723,0.0023442481078669863,-0.0017169558946844503
-3.333333333333333,0.0,-10.0,-0.005263693070234603,0.000857381935009603,0.0008308788720310378,0.02195632947786528,0.0023829024358670015,-0.0012428696701184772
-3.333333333333333,0.0,-5.0,-0.00531954281477888,0.0028136007082272246,0.00047674566790298356,0.021773186530810132,0.0024855595388479923,-0.0015415526304398035
-3.333333333333333,0.0,0.0,-0.005278661781054999,-0.0012354226317130845,7.183207919500556e-05,0.02175588707781719,0.002439463499218003,0.0007727087620794524
