# Aircraft: RC BIRE
# Date Generated: 2025-04-30 14:43:18
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,4
parameter,coordinate_system,body

BIRE[deg],elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-20.0,-10.0,-10.0,-0.0462167017619177,0.09457310537092001,0.09874750228533102,-0.0005092543885217098,0.13981597482571298,-0.051597932808214696
-45.0,-20.0,-10.0,-5.0,-0.04362816419638871,0.090699654836274,0.09209390209845097,-0.0027582426250492287,0.1309088233309158,-0.0492217709356692
-45.0,-20.0,-10.0,0.0,-0.041068790869735104,0.09041025507657,0.0857683882728336,-0.005203019898964679,0.12134087668077649,-0.0490384148185406
-45.0,-20.0,-10.0,5.0,-0.039519465138834,0.0941322014214912,0.08924541114541701,-0.00620050834510255,0.1259339271456743,-0.050948294306704396
-45.0,-20.0,-10.0,10.0,-0.0378680741277821,0.09740029004362219,0.08929350571937,-0.007776288796526571,0.1250769351264293,-0.052748888697063095
-45.0,-20.0,-10.0,15.0,-0.03818994224554649,0.09670790434136932,0.084365716487948,-0.011036383086370631,0.1165591017846698,-0.05203120261369
-45.0,-20.0,-10.0,20.0,-0.03524939696878711,0.10132772953703621,0.08388522076035998,-0.01246443811281864,0.11383622387884748,-0.05461921089034724
-45.0,-20.0,0.0,-20.0,-0.04310973248084031,0.09092009162853279,0.10973957999792994,0.009057469815571768,0.151137858933811,-0.050196293060534795
-45.0,-20.0,0.0,-15.0,-0.0409957395095171,0.082941852228992,0.10064887214570895,0.00762728509131704,0.1399259994770068,-0.045595142756897404
-45.0,-20.0,0.0,-10.0,-0.03925740414143844,0.0813098218129649,0.095468345417276,0.0050303681277226,0.1337915879882072,-0.044583404138411595
-45.0,-20.0,0.0,-5.0,-0.03829636160733839,0.0819863525001731,0.09142990650265098,0.002556535652741421,0.1285472233188385,-0.044852112142101
-45.0,-20.0,0.0,0.0,-0.036197208015072306,0.08278928777025302,0.0889159778105853,0.00031553997422706706,0.1252256961113185,-0.04521071412111375
