# Aircraft: RC BIRE
# Date Generated: 2025-04-30 15:12:20
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,4
parameter,coordinate_system,body

BIRE[deg],aileron[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-20.0,10.0,-5.0,-0.0342296318791723,-0.011130086999728894,0.069430302400624,0.05972141860103398,-0.008317464776324203,0.0017201063573804003
-45.0,-20.0,10.0,0.0,-0.038937358565033,-0.008114872885590901,0.05475506774118301,0.058640972106859014,-0.014949115426729984,0.0019804776868419006
-45.0,-20.0,10.0,5.0,-0.0419523911082642,-0.012090130270483002,0.045485172522924,0.05807017717734133,-0.03506324283163301,0.005739559330199099
-45.0,-20.0,10.0,10.0,-0.047192522648367645,0.002050084253718998,0.054953593900673,0.06310288085685595,-0.01499575121518601,0.0009283609200379031
-45.0,-20.0,10.0,15.0,-0.051854521638391084,0.007631138058734999,0.052219560715740077,0.06873939839732726,-0.006288178826347024,0.0004373215271252992
-45.0,-20.0,10.0,20.0,-0.05452951574510619,0.008574891255476003,0.041309305110200034,0.07447950537279939,-0.005685172988887988,0.002391789924955798
-45.0,-20.0,20.0,-20.0,-0.006971495831532004,-0.030203794822479993,0.11339875212560102,0.06721270437763255,-0.0020491460967090036,0.004812430919864241
-45.0,-20.0,20.0,-15.0,-0.011036205614342903,-0.026362916975582018,0.12471447984048001,0.06089871569517169,-0.0014842905855489003,0.004736413906747099
-45.0,-20.0,20.0,-10.0,-0.0175462899865829,-0.020597142808344987,0.13261026874792897,0.05585934786318832,-0.0014956389563648975,0.0033349875480596005
-45.0,-20.0,20.0,-5.0,-0.0262262024602891,-0.012269631413295012,0.1365145004285932,0.052360743098003835,-0.0024520944121250027,0.000397984045038699
-45.0,-20.0,20.0,0.0,-0.0365060608436245,-0.011684243276965989,0.1280521194416999,0.0521920817115541,-0.014434532988142984,0.0013760364555912008
-45.0,-20.0,20.0,5.0,-0.046096483854175904,-0.012399860659808998,0.11284398838292697,0.05372201918895551,-0.028410794447596033,0.0030412174409375978
-45.0,-20.0,20.0,10.0,-0.055232190266317996,-0.00628993271458303,0.10255402739508501,0.057733841962218396,-0.02951701873441598,0.0015340602458610991
-45.0,-20.0,20.0,15.0,-0.06323486687284452,-0.0009428409504959601,0.08788166200878789,0.06328377600222423,-0.030094638551022013,0.0006261113333507068
-45.0,-20.0,20.0,20.0,-0.06821977213181571,0.000593900688393989,0.06411383911836,0.0689572483556692,-0.038411588189970924,0.0019176571368520051
-45.0,-10.0,-20.0,-20.0,-0.034355185549587997,-0.007186931406506003,-0.041487734231359985,0.038349146912238063,0.018079155237674005,0.0026611238677659993
-45.0,-10.0,-20.0,-15.0,-0.031665541921367495,-0.004634602037167035,-0.052088298292565005,0.03479541520573013,0.015169107908312995,0.002440445372372993
-45.0,-10.0,-20.0,-10.0,-0.02721665290034815,7.080697323003093e-05,-0.05903607900084795,0.03166342520826472,0.014513397736563016,0.0009452058002775987
-45.0,-10.0,-20.0,-5.0,-0.0217926708571172,0.00642321743785601,-0.062361309661268016,0.0292712931506182,0.01526961319506101,-0.0014555828786771974
-45.0,-10.0,-20.0,0.0,-0.016328304105004604,0.00695472605161801,-0.0689125512269884,0.0286094335971773,0.008047125910531,-0.001063541134766699
-45.0,-10.0,-20.0,5.0,-0.0103685809717225,0.007006200870654011,-0.07338446290829698,0.02876787138295664,-0.00015278039345979766,-0.0004353149020489
-45.0,-10.0,-20.0,10.0,-0.005296566440899523,0.011568141982208985,-0.06747467229696702,0.031194568829162148,0.002858870000946201,-0.0019986059500887027
-45.0,-10.0,-20.0,15.0,-0.0012503598140757022,0.014642750509629016,-0.059644423996420004,0.0345654404795816,0.006161862901165896,-0.0027039634269487023
-45.0,-10.0,-20.0,20.0,0.0018603148243849926,0.014819443909874996,-0.05333931832441996,0.0376263915357173,0.004334206571650984,-0.0016908625076135012
-45.0,-10.0,-10.0,-20.0,-0.025192854480922997,-0.009301789794782994,-0.024633182068279913,0.040663394500209185,0.004913152267258997,0.0015750205261931965
-45.0,-10.0,-10.0,-15.0,-0.023839157710941195,-0.0061183154347780044,-0.029198716879985098,0.03726111155308037,0.005827363073224984,0.0011537237462016028
-45.0,-10.0,-10.0,-10.0,-0.02163188761085405,-0.0015729593453179813,-0.03187121902383194,0.03450215338002361,0.007465238901992993,1.806857280930302e-05
-45.0,-10.0,-10.0,-5.0,-0.018658159829485797,0.009988449057996993,-0.027228921034732012,0.031663678084372184,0.016702224101817792,-0.004632612523618504
-45.0,-10.0,-10.0,0.0,-0.0162673010519866,0.008890737158038994,-0.028678466150947303,0.03192246691996912,0.0093718765250714,-0.003015077584863201
-45.0,-10.0,-10.0,5.0,-0.014328875802331803,0.008929700085757192,-0.03467628602453898,0.032819866991757346,0.0073638828775164,-0.0020074922275541
-45.0,-10.0,-10.0,10.0,-0.012299617742025698,0.010910306716821694,-0.032547125004438016,0.03485432464621603,0.008273152319316898,-0.0019712321004576993
-45.0,-10.0,-10.0,15.0,-0.010966331512365698,0.011678396659170004,-0.029944296511669966,0.03731913874333187,0.008563041306421298,-0.0012107066924627995
-45.0,-10.0,-10.0,20.0,-0.00987062350611731,0.010798137905382102,-0.028191951249499914,0.03986527042407186,0.006388151747020981,0.0004604833271169179
-45.0,-10.0,0.0,-20.0,-0.018537682626760005,-0.009753397381463899,0.0023005832658999914,0.040966338855206966,-0.001889207499918999,0.0006443834628322986
-45.0,-10.0,0.0,-15.0,-0.018151166112012097,-0.007152236112580597,0.0019182292007620116,0.03779889198346844,-0.00043417532975320583,0.0003501062595533018
-45.0,-10.0,0.0,-10.0,-0.01771245475229484,-0.0038894490483942015,0.0017839127339890348,0.03547687901296811,0.0007440456173011985,-0.0001477069781632978
-45.0,-10.0,0.0,-5.0,-0.0173454432782533,-8.29626884030002e-05,0.0020529579798639896,0.033960588598902816,0.0020391121288048197,-0.0008662519902614997
-45.0,-10.0,0.0,0.0,-0.0173460577821482,0.0021222119363159195,0.0007829160786859968,0.03353421979694155,0.001036548195760302,-0.0008037942368119501
-45.0,-10.0,0.0,5.0,-0.017117773278122,0.003520024017036402,-0.000807667574419968,0.03404150108471472,-0.00040569539290659373,-0.000336945941973631
-45.0,-10.0,0.0,10.0,-0.017483068434625097,0.005854508441541301,0.00030534170465601473,0.03565718340346297,0.001981319207012,-0.0002551947609829002
-45.0,-10.0,0.0,15.0,-0.017938558149433445,0.008772628219804499,0.0033260519456599358,0.038682047796510056,0.007840153366467983,-0.0005651212166722999
-45.0,-10.0,0.0,20.0,-0.018046138419093305,0.00850736323512391,0.0023469652568901544,0.041536574895846425,0.008465078371678009,0.0007215192211185023
-45.0,-10.0,10.0,-20.0,-0.010571709479917007,-0.011752729280517498,0.03261531839909004,0.03920889523583691,-0.003357143582765107,0.0007646682925508009
-45.0,-10.0,10.0,-15.0,-0.011066876374340402,-0.011692825581014199,0.03394704128823001,0.0365806267366483,-0.005177951792303102,0.0018912657933622202
-45.0,-10.0,10.0,-10.0,-0.01202834099267743,-0.008976319109692502,0.03597812241475201,0.03411131241535706,-0.0048199484547688,0.00160976430118645
-45.0,-10.0,10.0,-5.0,-0.013682294972050799,-0.005616196711628094,0.036680699540479006,0.03227688694986678,-0.0050881614766052005,0.0009152402600976998
-45.0,-10.0,10.0,0.0,-0.0163087377060763,-0.004050952026895302,0.029307726963334002,0.03167833675125601,-0.008415462422685996,0.0010886200975741
-45.0,-10.0,10.0,5.0,-0.0180736439889842,-0.006255149907733001,0.024936890730557992,0.031325335143505634,-0.01888932013189698,0.0031892486264351004
-45.0,-10.0,10.0,10.0,-0.02066427373838094,0.0016420329306710002,0.030642282500427998,0.03404025477562346,-0.007858633196266007,0.00042514572475849804
-45.0,-10.0,10.0,15.0,-0.022999912534003703,0.004845025733472008,0.029859992729859952,0.037087824374355545,-0.002829007402544992,3.7152099095702495e-05
