# Aircraft: RC F16
# Date Generated: 2025-04-30 14:06:52
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-10.0,-20.0,15.0,-0.007158327973544494,0.016513198918236993,0.08157584769633996,-0.004128566543813102,0.11227995852327202,-0.008836785662027002
-10.0,-20.0,20.0,-0.006804463276410988,0.01731747851292398,0.08903732047366009,-0.0035945013741189996,0.123774223559314,-0.008948192574531999
-10.0,-10.0,-20.0,-0.017049753150924996,0.0028499239820160005,0.08246754962253,-0.0031800992176813023,0.115595345786603,-0.0010424171042379
-10.0,-10.0,-15.0,-0.0159668174242946,0.003385027201625007,0.07662139265527501,-0.003395373137947501,0.107479368640432,-0.0014749761091095992
-10.0,-10.0,-10.0,-0.01479792722821222,0.0039200389866760055,0.07298042899011603,-0.003490742023435703,0.10244518486381231,-0.0018689318419303977
-10.0,-10.0,-5.0,-0.013537179018828997,0.0039055502569959877,0.07237480914604902,-0.0033068086302259006,0.1016493769754312,-0.001982831752208397
-10.0,-10.0,0.0,-0.0128850767656448,0.004007895501949993,0.0716082878652942,-0.003269514124017001,0.1004312049011368,-0.0021249224181534992
-10.0,-10.0,5.0,-0.012061909604541704,0.004438363124318001,0.07234788421812505,-0.00321338819938812,0.10131464342132651,-0.002454991057530803
-10.0,-10.0,10.0,-0.01069343548049441,0.00540168322333201,0.07409225033190803,-0.00314534318817819,0.1035348862065516,-0.003076553978885399
-10.0,-10.0,15.0,-0.009419607332885799,0.005678170357440004,0.07852337773486995,-0.0028008702933049016,0.109419532813338,-0.003335184610203601
-10.0,-10.0,20.0,-0.00904065104094319,0.004592533733925985,0.08482572335953997,-0.00259011917014446,0.11785865375288002,-0.0028977645879669986
-10.0,0.0,-20.0,-0.017442621463092,8.196411732396395e-17,0.0816764512469601,3.2489097759607987e-17,0.11490625279290603,-1.58624802183374e-16
-10.0,0.0,-15.0,-0.0163298795981697,-4.553480061285543e-17,0.07591287429968008,2.960774265856796e-17,0.106946379191727,6.04869976300447e-17
-10.0,0.0,-10.0,-0.01531070792234158,5.234464681451e-17,0.07235418880359601,6.090133127077014e-18,0.1020247424456959,-5.20368008204171e-17
-10.0,0.0,-5.0,-0.0142819541507416,-1.287518439470003e-18,0.07047145246612599,-6.308485690748105e-18,0.09936778195163311,9.390202092994973e-19
-10.0,0.0,0.0,-0.012425476718367995,-8.688514368003799e-20,0.0694159378941562,1.1886878911997351e-17,0.0976998332572954,1.3975665963846566e-17
-10.0,0.0,5.0,-0.011305120228151298,-2.9256686502548394e-17,0.07043675647674097,3.9867581110781506e-17,0.09901981116799569,2.832927876757685e-17
-10.0,0.0,10.0,-0.010804326305574697,-1.3386065376769952e-17,0.07291645381663192,8.452449892166029e-17,0.10225651881136802,-2.403116009333899e-17
-10.0,0.0,15.0,-0.010330337345563831,-1.8552528543298982e-17,0.07707372084311004,4.470968448670492e-17,0.1077399219646409,-1.7490083383214699e-16
-10.0,0.0,20.0,-0.009964146750477396,-1.748432789054967e-16,0.08302141809306018,6.500808764944999e-17,0.11560207441762899,-1.0561039711849699e-16
-10.0,10.0,-20.0,-0.017049753150923982,-0.0028499239820160005,0.08246754962253,0.0031800992176813023,0.11559534578660599,0.0010424171042379
-10.0,10.0,-15.0,-0.01596681742429369,-0.003385027201624008,0.07662139265527601,0.0033953731379476985,0.107479368640434,0.0014749761091098074
-10.0,10.0,-10.0,-0.01479792722821214,-0.003920038986675006,0.07298042899011603,0.0034907420234356022,0.10244518486381321,0.001868931841930599
-10.0,10.0,-5.0,-0.013537179018829,-0.0039055502569959877,0.07237480914604902,0.0033068086302259006,0.1016493769754316,0.0019828317522083
-10.0,10.0,0.0,-0.012885076765644904,-0.004007895501949993,0.07160828786529609,0.003269514124017001,0.1004312049011385,0.002124922418153402
-10.0,10.0,5.0,-0.012061909604541204,-0.004438363124319,0.07234788421812499,0.0032133881993880193,0.1013146434213239,0.002454991057530803
-10.0,10.0,10.0,-0.010693435480494961,-0.00540168322333201,0.07409225033190803,0.0031453431881782396,0.10353488620655259,0.003076553978885399
-10.0,10.0,15.0,-0.009419607332883606,-0.005678170357440004,0.07852337773486695,0.002800870293304999,0.109419532813331,0.003335184610203601
-10.0,10.0,20.0,-0.009040651040943204,-0.004592533733925985,0.08482572335954996,0.00259011917014443,0.11785865375287902,0.0028977645879667974
-10.0,20.0,-20.0,-0.015813692884038,-0.006241288427598968,0.08341894386719995,0.0062525640682548,0.11550291905502802,0.0026780418359449998
-10.0,20.0,-15.0,-0.014387121268821093,-0.007623593392403982,0.07703339292889111,0.0067213570322450025,0.10645352463411098,0.003714181108541992
-10.0,20.0,-10.0,-0.012358202044334004,-0.009600187296272988,0.07131941805489395,0.007532215897322302,0.09797590060947191,0.005221570615810994
-10.0,20.0,-5.0,-0.01156113600104712,-0.006948206395271994,0.08195015595368196,0.004498516599243503,0.1147367864214156,0.003779227251289985
-10.0,20.0,0.0,-0.012296178752974299,-0.006125512977032954,0.0829958062514076,0.004111572853735694,0.116131624671996,0.003038434840069007
-10.0,20.0,5.0,-0.01212841116173624,-0.009793421714852979,0.06969578595102999,0.007366914132361596,0.0950261943537114,0.005064095474696995
-10.0,20.0,10.0,-0.0089769955613438,-0.011759660267839978,0.07651691833752505,0.0056632610278743965,0.10531457220879699,0.006552962349769986
-10.0,20.0,15.0,-0.007158327973545604,-0.01651319891823899,0.08157584769634796,0.004128566543812901,0.11227995852327802,0.008836785662027002
-10.0,20.0,20.0,-0.006804463276415984,-0.017317478512926976,0.0890373204736501,0.003594501374118396,0.123774223559315,0.008948192574531999
0.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
